Category,Name,Breast,CNS,LargeInt,Endometrium,Oesophagus,Liver,Ovary,Lung,Skin,Pancreas,UpAero,UrTract,Stomach
DNA Damage and Repair,DNA Double-Strand Break Repair by Homologous Recombination,-0.63874,0,0,-0.69994,0,-0.69752,0,0,0,0,0,0,0
Cell Death,Death Receptor Signaling,-0.3525,0.32712,0,-0.42296,0,0,0,0,-0.40331,0,0,0,0
Cell Signaling,Ephrin B Signaling,-0.41212,0,0,0,0,0,0,0,0,0,0,-0.36238,0
Cell Junctions and Interactions,Epithelial Adherens Junction Signaling,-0.39562,0.39718,0,0,0,0,0,0,-0.34211,0,0,-0.30668,0
Cellular Functions,Erythropoietin Signaling,-0.3796,0,0,0,0,0,0,0,0,0,0,0,0
Cellular Functions,Factors Promoting Cardiogenesis in Vertebrates,-0.4628,0,0,0,0,0,0,0,0,0,0,0,0
Cell Signaling,G Beta Gamma Signaling,-0.41387,0,0,0,0,0,0,0,0,0,0,-0.37716,0
Cell Signaling,G Protein Signaling Mediated by Tubby,-0.50415,0,0,0,0,0,0,0,0,0,0,-0.44997,0
Cell Junctions and Interactions,Gap Junction Signaling,-0.33657,0.29953,0,0,0,0,0,0,0,0,0,-0.27984,0
Cell Junctions and Interactions,Germ Cell-Sertoli Cell Junction Signaling,-0.31172,0.31487,0,0,-0.30252,0,0,0,0,0,0,-0.32518,0
Immune Related,Graft-versus-Host Disease Signaling,-0.51659,0.6408,0.63264,0,0,0,0,0.6015,0,0,-0.56739,0,0
Cell Junctions and Interactions,Granulocyte Adhesion and Diapedesis,-0.36994,0.31622,0.41505,0.30855,-0.4875,0.46237,0.30802,0.54059,-0.37215,-0.35122,-0.38354,0,0
Cellular Functions,HGF Signaling,-0.36959,0,0,0,0,0,0,0,0,0,0,-0.3256,0
Biosynthesis,Heparan Sulfate Biosynthesis (Late Stages),-0.42779,0,0,0.42414,0,0,0,0,0,0,0,0,0
Cancer Specific Pathways,Hereditary Breast Cancer Signaling,-0.3379,0,-0.3804,-0.51821,0.42548,-0.4741,-0.45897,-0.4295,0,0.46253,0,-0.3471,0
Stem Cells,Human Embryonic Stem Cell Pluripotency,-0.3695,0,0,0,0,0,0,0,0,0,0.40391,0,0
Immune Related,IL-1 Signaling,-0.37719,0.33428,0,0,0,0,0,0,0,0,0,-0.37794,0
Immune Related,IL-6 Signaling,-0.34838,0.32151,0,0,0,0,0,0,-0.40849,0,0,0,0
Immune Related,IL-8 Signaling,-0.33674,0.27456,0,0,0,0,0,0,0,0,0,-0.33652,0
Cellular Functions,Inhibition of Matrix Metalloproteases,-0.48673,0.45896,0.55062,0,0,0.49028,0,0.61029,0,0,0,0,0
Immune Related,Interferon Signaling,-0.57757,0,0,0,-0.51036,0,0,0,0,0,0,0,0
Cell Signaling,JAK/Stat Signaling,-0.38038,0,0,0,0,0,0,0,0,0,0,-0.34597,0
Cell Junctions and Interactions,Leukocyte Extravasation Signaling,-0.34397,0.33286,0.30224,0.27774,-0.34855,0,0,0.32186,0,0,0,0,0
Cellular Functions,Macropinocytosis Signaling,-0.44505,0.37658,0,0,0,0,0,0,0,0,0,0,0
Cancer Specific Pathways,Molecular Mechanisms of Cancer,-0.3056,0,0,-0.26109,0,0,0,0,0,0,0,-0.24378,0
Stem Cells,Mouse Embryonic Stem Cell Pluripotency,-0.36685,0,0,0,0,0,0,0,0,0,0,0,0
Inflammation,NF-Åê___B Signaling,-0.34904,0,0,0,0,0,0,0,-0.34434,0,0,-0.29138,0
Immune Related,Oncostatin M Signaling,-0.55474,0,0,0,0,0,0,0.49434,0,0,0,0,0
Cancer Specific Pathways,Ovarian Cancer Signaling,-0.40651,0,0,0,0.34732,0,0,0,0,0,0,0,0
Inflammation,PDGF Signaling,-0.41711,0,0,0,0,0,0,0,0,0,0,0,0
Cell Signaling,PEDF Signaling,-0.40169,0,0,0,0,0,0,0,-0.42196,0,0,0,0
Metabolism,PPAR Signaling,-0.38562,0,0,0,0,0,0,0.34135,-0.46053,0,0,0,0
Metabolism,PPARÅêÔ±/RXRÅêÔ± Activation,-0.33263,0.24508,0,0,0,0,0,0,-0.34833,0,0,0,0
Cell Junctions and Interactions,Paxillin Signaling,-0.3951,0.36316,0,0,-0.34828,0,0,0,0,0,0,0,0
Cell Signaling,Prolactin Signaling,-0.41673,0,0,0,0,0,0,0,0,0,0,0,0
Cell Signaling,Protein Kinase A Signaling,-0.27101,0,0,0,0,0,0,0,0,0,0,-0.24318,0
Cancer Specific Pathways,Regulation of the Epithelial-Mesenchymal Transition Pathway,-0.36577,0,0,0,0,0,0,0,0,0,0.35874,0,0
DNA Damage and Repair,Role of BRCA1 in DNA Damage Response,-0.45837,-0.44283,-0.53923,-0.65273,0.52969,-0.58063,-0.52541,-0.51534,0,0.50845,0,0,0
Immune Related,Role of JAK family kinases in IL-6-type Cytokine Signaling,-0.5127,0,0,0,0,0,0,0,0,0,0,0,0
Immune Related,Role of JAK1 and JAK3 in Åê__‰c Cytokine Signaling,-0.43073,0,0,0,0,0,0,0,0,0,0,0,0
Immune Related,"Role of JAK1, JAK2 and TYK2 in Interferon Signaling",-0.54862,0,0,0,0,0,0,0,0,0,0,0,0
Immune Related,"Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis",-0.35758,0,0,0,0,0,0,0.29997,-0.33872,0,0,0,0
Stem Cells,Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency,-0.4398,0,0,0,0,0,0,0,0,0,0,0,0
Other,Role of NFAT in Cardiac Hypertrophy,-0.3294,0,0,0,0,0,0,0,0,0,0,-0.33118,0
Immune Related,Role of NFAT in Regulation of the Immune Response,-0.32824,0,0,0,0,0,0,0,0,0,0,-0.30033,0
Cellular Functions,"Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis",-0.40932,0.30931,0,0,0,0,0,0.30064,-0.3258,0,0,0,0
Cell Signaling,STAT3 Pathway,-0.38545,0,0,0,0,0,0,0,0,0,0,0,0
Cell Junctions and Interactions,Sertoli Cell-Sertoli Cell Junction Signaling,-0.31175,0.29177,0,0,0,0,0,0,-0.33958,0,0,-0.30162,0
Immune Related,T Cell Receptor Signaling,-0.365,0,0,0,0,0,0,0,0,0,0,0,0
Immune Related,TNFR2 Signaling,-0.55102,0,0,0,0,0,0,0,0,0,0,0,0
Immune Related,TREM1 Signaling,-0.44692,0,0,0,-0.45949,0,0,0.42434,0,0,-0.38716,-0.44517,0
Cell Signaling,Tec Kinase Signaling,-0.38397,0.27532,0,0,0,0,0,0,0,0,0,0,0
Other,Thrombopoietin Signaling,-0.41246,0,0,0,0,0,0,0,0,0,0,0,0
Immune Related,Toll-like Receptor Signaling,-0.39525,0.35673,0,0,0,0,0,0.39161,-0.42807,0,-0.35458,0,0
Stem Cells,Transcriptional Regulatory Network in Embryonic Stem Cells,-0.49738,0,0,0,0,0,0,-0.48903,0,0,0,0,0
Cellular Functions,Type I Diabetes Mellitus Signaling,-0.37014,0.29659,0,0,0,0,0,0,0,0,0,-0.32691,0
Cell Signaling,Wnt/Ca+ pathway,-0.42945,0,0,0,0,0,0,0,-0.43163,0,0,0,0
Immune Related,fMLP Signaling in Neutrophils,-0.35313,0.26767,0,0,0,0,0,0,0,0,0,-0.41642,0
Immune Related,Virus Entry via Endocytic Pathways,-0.37615,0.33027,0,0,-0.40423,0,0,0.34762,0,0,0,0,0
"Cell Cycle, Division and Proliferation",Regulation of Cellular Mechanics by Calpain Protease,-0.41525,0.39566,0,0,0,0,0,0.47324,-0.44226,0,0,-0.42403,0
Cell Junctions and Interactions,Caveolar-mediated Endocytosis Signaling,-0.48765,0.49433,0,0,-0.42071,0,0,0.46639,0,0,0,0,0
Cancer Specific Pathways,Pancreatic Adenocarcinoma Signaling,-0.3318,0,0,-0.35723,0,0,0,0,0,0,0,0,0
Cancer Specific Pathways,Role of Tissue Factor in Cancer,-0.36427,0.32241,0,0,0,0,0,0.33867,0,0,0,-0.41789,0
Cytoskeleton,Actin Cytoskeleton Signaling,-0.34822,0.33041,0,0,0,0,0,0,0,0,0,-0.30211,0
Cell Signaling,Signaling by Rho Family GTPases,-0.30312,0,0,0,0,0,0,0,0,0,0,-0.29271,0
Cell Signaling,GÅêÔ±i Signaling,-0.34572,0,0,0,0,0.3367,0,0,0,0,0,0,0
Cell Signaling,RhoGDI Signaling,-0.31383,0.28676,0,0,0,0,0,0,0,0,0,-0.31705,0
Cell Junctions and Interactions,Remodeling of Epithelial Adherens Junctions,-0.48387,0.47099,0,0,0,0,0,0,0,0,0,-0.41311,0
Cancer Specific Pathways,Bladder Cancer Signaling,-0.38057,0.33596,0,0,0,0,0,0.3442,0,0,0,0,0
Cell Signaling,Ephrin Receptor Signaling,-0.36816,0,0,0,0,0,0,0,0,0,0,-0.33683,0
Other,Hepatic Fibrosis / Hepatic Stellate Cell Activation,-0.42829,0.45944,0.41028,0.43772,-0.30213,0.38152,0.29137,0.4301,-0.38521,-0.27501,0,0,0
Immune Related,Antigen Presentation Pathway,-0.6786,0,0,0,0,0,0,0,0,0,0,0,0
Immune Related,Crosstalk between Dendritic Cells and Natural Killer Cells,0,0.41866,0,0,-0.43486,0,0,0.36604,0,0,0,0,0
Immune Related,IL-10 Signaling,0,0.3742,0,0,-0.38922,0,0,0.39281,-0.43197,0,0,0,0
Immune Related,Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza,0,0.49191,0.52119,0,0,0,0,0.44336,-0.53361,0,-0.60517,0,0
Cytoskeleton,Regulation of Actin-based Motility by Rho,0,0.37697,0,0,-0.39139,0,0,0,0,0,0,-0.37046,0
"Cell Cycle, Division and Proliferation",FAK Signaling,0,0.34154,0,0,0,0,0,0,0,0.46043,0,0,0
Cell Signaling,ÅêÔ±-Adrenergic Signaling,0,0.35544,0,0,0,0,0,0,0,0,0,0,0
Cell Signaling,IGF-1 Signaling,0,0.32296,0,0,0,0,0,0,0,0,0,-0.32488,0
"Cell Cycle, Division and Proliferation",CDK5 Signaling,0,0.30712,0,0,0,0,0,0,0,0,0,0,0
Cell Signaling,Cdc42 Signaling,0,0.38182,0,0,0,0,0,0,0,0,0,-0.32345,0
Cellular Functions,Atherosclerosis Signaling,0,0.30003,0.44684,0.32917,-0.37598,0.47262,0,0.46001,-0.38819,-0.35589,-0.3466,0.34781,0
Cellular Functions,phagosome maturation,0,0.33323,0,0,0,0,0,0,0.36665,0,0,0,0
Cell Signaling,P2Y Purigenic Receptor Signaling Pathway,0,0.29416,0,0,0,0,0,0,0,0,0,-0.35096,0
Cell Signaling,RhoA Signaling,0,0.37519,0,0,0,0,0,0,0,0.42165,0,0,0
Immune Related,Role of IL-17A in Psoriasis,0,0.67321,0,0,0,0,0,0.73472,-0.69564,0,0,0,0
Cell Signaling,GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell,0,0.33963,0,0,0,0,0,0,0,0,0,0,0
Immune Related,Dendritic Cell Maturation,0,0.29449,0,0,0,0,0,0,-0.34128,0,0,0,0
Cell Signaling,CXCR4 Signaling,0,0.27405,0,0,0,0,0,0,0,0,0,0,0
Cell Signaling,Cholecystokinin/Gastrin-mediated Signaling,0,0.32551,0,0,0,0,0,0,-0.36262,0,0,0,0
Other,Hepatic Cholestasis,0,0.29265,0,0,-0.30364,0,0,0.29447,-0.37603,0,-0.35497,0,0
Biosynthesis,GDP-glucose Biosynthesis,0,0.82603,0,0,0,0,0,0,0,0,0,0,0
Cytoskeleton,ILK Signaling,0,0.31198,0,0,0,0,0,0,-0.33023,0,0,-0.27289,0
Cell Signaling,PI3K Signaling in B Lymphocytes,0,0.28763,0,0,0,0,0,0,-0.35307,0,0,0,0
Immune Related,FcÅê__‰ Receptor-mediated Phagocytosis in Macrophages and Monocytes,0,0.3108,0,0,0,0,0,0,0,0,0,0,0
Immune Related,IL-17 Signaling,0,0.33049,0,0,0,0,0,0,0,0,0,0,0
Cellular Functions,Clathrin-mediated Endocytosis Signaling,0,0.26452,0,0,0,0,0,0,0,0,0,0,0
Cytoskeleton,Actin Nucleation by ARP-WASP Complex,0,0.3832,0,0,0,0,0,0,0,0,0,-0.39604,0
Degradation,Glucose and Glucose-1-phosphate Degradation,0,0.77224,0,0,0,0,0,0,0,0,0,0,0
Cellular Functions,Thrombin Signaling,0,0.25638,0,0,0,0,0,0,0,0,0,0,0
Cell Signaling,Corticotropin Releasing Hormone Signaling,0,0.27149,0,0,0,0,0,0,0,0,0,0,0
Cell Junctions and Interactions,Integrin Signaling,0,0.37103,0,0,-0.30781,0,0,0,0,0,0,-0.31209,0
Other,Renin-Angiotensin Signaling,0,0.27748,0,0,0,0,0,0,0,0,0,0,0
Immune Related,IL-17A Signaling in Gastric Cells,0,0.4937,0,0,0,0,0,0,0,0,0,0,0
Immune Related,Role of Cytokines in Mediating Communication between Immune Cells,0,0.36314,0,0,-0.51164,0,0,0.45795,-0.55859,-0.45896,-0.63359,0,0
Immune Related,HMGB1 Signaling,0,0.26322,0,0,0,0,0,0,-0.38232,0,0,-0.31719,0
Metabolism,Glycolysis I,0,0.48792,0,0,0,0,0,0,0,0,0,0,0
Cell Junctions and Interactions,Synaptic Long Term Potentiation,0,0.28291,0,0,0,0,0,0,0,0,0,0,0
Immune Related,IL-17A Signaling in Fibroblasts,0,0.41733,0,0,0,0,0,0,-0.54972,0,0,0,0
Other,Cardiac Hypertrophy Signaling,0,0.23188,0,0,0,0,0,0,0,0,0,-0.2881,0
DNA Replication,Assembly of RNA Polymerase I Complex,0,-0.75792,0,0,0.73412,0,0,0,0,0,0,0,0
Cell Signaling,EIF2 Signaling,0,-0.58982,0,0,0.45557,-0.52883,-0.38063,-0.35803,-0.42615,0,0,-0.56276,0
Immune Related,Granzyme A Signaling,0,-0.60434,0,0,0,0,0,0,0,0,0,0,0
Cellular Functions,Regulation of eIF4 and p70S6K Signaling,0,-0.45115,0,0,0.3591,-0.49051,-0.39545,0,-0.36019,0,0,-0.46584,0
Cell Signaling,mTOR Signaling,0,-0.35376,0,0,0,-0.40658,0,0,-0.33442,0,0,-0.35342,0
Degradation,Lysine Degradation II,0,-0.85314,0,0,0,0,0,0,0,0,0,0,0
Cellular Functions,DNA Methylation and Transcriptional Repression Signaling,0,-0.60241,0,0,0,0,0,-0.72415,0,0,0,0,0
Degradation,Phenylethylamine Degradation I,0,-0.8604,0,0,0,0,0,0,0,0,0,0,0
Cellular Functions,tRNA Charging,0,-0.64304,-0.59947,0,0.62594,-0.64868,-0.62357,-0.52038,0,0,0,0,0
Degradation,Methionine Degradation I (to Homocysteine),0,-0.63689,0,0,0.64401,0,0,0,0,0,0,0,0
Degradation,Superpathway of Methionine Degradation,0,-0.59854,0,0,0.55028,0,0,-0.52884,0,0,0,0,0
Biosynthesis,Cysteine Biosynthesis III (mammalia),0,-0.65797,0,0,0.62262,0,0,0,0,0,0,0,0
Cellular Functions,Cleavage and Polyadenylation of Pre-mRNA,0,-0.6876,0,0,0,0,0,0,0,0.74766,0,0,0
Cellular Functions,Coagulation System,0,0,0.50267,0.48271,0,0,0,0.51349,0,0,0,0,0
Cellular Functions,Estrogen Receptor Signaling,0,0,-0.38761,-0.38884,0.36664,-0.36544,-0.4599,-0.46193,0,0.40821,0,-0.31674,0
Degradation,Glycogen Degradation III,0,0,-0.71532,0,0,0,0,0,0,0,0,0,0
"Cell Cycle, Division and Proliferation",Mitotic Roles of Polo-Like Kinase,0,0,-0.45632,-0.61834,0,-0.58295,-0.56173,0,0,0,0,-0.40069,0
Degradation,Protein Ubiquitination Pathway,0,0,-0.30731,-0.47132,0.3679,-0.32426,-0.42522,-0.30858,0,0,0,-0.30031,0
"Cell Cycle, Division and Proliferation",Role of CHK Proteins in Cell Cycle Checkpoint Control,0,0,-0.48324,-0.67233,0.46287,-0.59597,-0.56584,-0.47444,0,0.48653,0,0,0
Biosynthesis,Superpathway of Inositol Phosphate Compounds,0,0,-0.31355,0,0,0,0,0,0,0,0,0,0
"Cell Cycle, Division and Proliferation",Cell Cycle Control of Chromosomal Replication,0,0,-0.65253,-0.70592,0,-0.7315,-0.67962,-0.58125,0,0.5886,0,-0.47783,0
Cancer Specific Pathways,Chronic Myeloid Leukemia Signaling,0,0,-0.39641,-0.36412,0,-0.38023,0,0,0,0,0,-0.38162,0
Cell Signaling,AMPK Signaling,0,0,-0.38587,0,0,0,-0.42718,-0.38414,0,0,0,0,0
DNA Damage and Repair,ATM Signaling,0,0,-0.42952,-0.60912,0,-0.46325,0,0,0,0.52045,0,0,0
Cellular Stress,Mitochondrial Dysfunction,0,0,0,0,0.49603,-0.3381,-0.4536,-0.425,0,0.37508,0,-0.31662,0
DNA Damage and Repair,Mismatch Repair in Eukaryotes,0,0,0,-0.81752,0.67093,-0.73862,0,-0.68829,0,0,0,-0.58748,0
Metabolism,TCA Cycle II (Eukaryotic),0,0,0,0,0.59495,0,-0.58963,0,0,0.59661,0,0,0
Other,Hypoxia Signaling in the Cardiovascular System,0,0,0,0,0.42716,0,0,0,0,0,0,-0.47961,0
Immune Related,IL-15 Production,0,0,0,0,-0.51384,0,0,0,0,0,0,0,0
Immune Related,Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses,0,0,0,0,-0.35581,0,0,0,0,0,0,0,0
Immune Related,T Helper Cell Differentiation,0,0,0,0.46167,-0.50818,0,0,0.47182,0,0,0,0,0
Cell Signaling,VDR/RXR Activation,0,0,0,0,-0.38674,0,0,0.41853,0,0,0,0,0
Other,phagosome formation,0,0,0,0,-0.36604,0,0,0,0,0,0,0,0
Cellular Functions,Sperm Motility,0,0,0,0.41051,0,0,0,0,0,0,0,0,0
Biosynthesis,Dermatan Sulfate Biosynthesis (Late Stages),0,0,0,0.49368,0,0,0,0,0,0,0,0,0
Other,Cellular Effects of Sildenafil (Viagra),0,0,0,0.33896,0,0,0,0,0,0,0,0,0
Biosynthesis,Chondroitin Sulfate Biosynthesis (Late Stages),0,0,0,0.46438,0,0,0,0,0,0,0,0,0
Cell Signaling,GÅêÔ±s Signaling,0,0,0,0.33422,0,0,0,0,0,0,0,0,0
Other,eNOS Signaling,0,0,0,0.3136,0,0,0,0,0,0,0,0,0
Immune Related,4-1BB Signaling in T Lymphocytes,0,0,0,-0.55688,0,0,0,0,-0.51194,0,0,0,0
Cell Signaling,April Mediated Signaling,0,0,0,-0.49402,0,0,0,0,0,0,0,0,0
DNA Replication,Assembly of RNA Polymerase II Complex,0,0,0,-0.54887,0,-0.48517,-0.5703,-0.5775,0,0.5243,0,-0.51975,0
Immune Related,B Cell Activating Factor Signaling,0,0,0,-0.51389,0,0,0,0,0,0,0,0,0
DNA Damage and Repair,BER pathway,0,0,0,-0.71177,0,0,-0.69404,0,0,0,0,0,0
Immune Related,CD40 Signaling,0,0,0,-0.40337,0,0,0,0,0,0,0,0,0
"Cell Cycle, Division and Proliferation",Cyclins and Cell Cycle Regulation,0,0,0,-0.49477,0,-0.42287,-0.4861,0,0,0,0,-0.39568,0
Cellular Stress,GADD45 Signaling,0,0,0,-0.59848,0,0,0,0,0,0,0,0,0
Cell Signaling,Glucocorticoid Receptor Signaling,0,0,0,-0.32216,0,-0.30756,-0.34858,0,-0.31964,0,0,-0.32676,0
"Cell Cycle, Division and Proliferation",HIPPO signaling,0,0,0,-0.39111,0,0,0,0,0,0,0,-0.34144,0
Cellular Stress,NRF2-mediated Oxidative Stress Response,0,0,0,-0.3048,0,0,0,0,0,0,0,0,0
DNA Damage and Repair,Nucleotide Excision Repair Pathway,0,0,0,-0.59229,0,-0.57503,-0.63085,-0.56298,0,0.5724,0,0,0
Cell Signaling,PI3K/AKT Signaling,0,0,0,-0.33603,0,0,0,0,0,0,0,-0.31614,0
Cell Signaling,RAN Signaling,0,0,0,-0.73176,0,-0.76672,-0.67228,-0.62752,0,0,0,-0.74284,0
Cell Death,TNFR1 Signaling,0,0,0,-0.46581,0,0,0,0,-0.47315,0,0,-0.49094,0
Cell Signaling,TWEAK Signaling,0,0,0,-0.56892,0,0,0,0,-0.62778,0,0,-0.50083,0
Cellular Functions,Telomere Extension by Telomerase,0,0,0,-0.6901,0,0,0,0,0,0,0,0,0
Cellular Stress,Unfolded protein response,0,0,0,-0.43198,0,0,0,0.42366,0,0,0,0,0
"Cell Cycle, Division and Proliferation",p53 Signaling,0,0,0,-0.37275,0,0,0,0,0,0.4524,0,0,0
Cancer Specific Pathways,Prostate Cancer Signaling,0,0,0,-0.38555,0,0,0,0,0,0,0,-0.3376,0
"Cell Cycle, Division and Proliferation",Cell Cycle Regulation by BTG Family Proteins,0,0,0,-0.51863,0,-0.51055,-0.54361,0,0,0,0,0,0
Cellular Functions,Telomerase Signaling,0,0,0,-0.37123,0,0,0,0,0,0,0,0,0
"Cell Cycle, Division and Proliferation",Cell Cycle: G1/S Checkpoint Regulation,0,0,0,-0.49739,0,0,-0.45637,0,0,0,0,-0.4152,0
"Cell Cycle, Division and Proliferation",Estrogen-mediated S-phase Entry,0,0,0,-0.66607,0,0,-0.57958,0,0,0.59928,0,0,0
Biosynthesis,Retinoate Biosynthesis I,0,0,0,0,0,0.62417,0,0,0,0,0,0,0
Cell Signaling,LXR/RXR Activation,0,0,0,0,0,0.47569,0,0.34038,-0.34244,-0.35766,-0.32772,0,0
Cell Signaling,FXR/RXR Activation,0,0,0,0,0,0.48729,0,0,0,0,-0.30869,0,0
Immune Related,LPS/IL-1 Mediated Inhibition of RXR Function,0,0,0,0,0,0.33926,0.26404,0.28348,0,0,0,0,0
Other,Intrinsic Prothrombin Activation Pathway,0,0,0,0,0,0.54566,0,0,0,0,0,0,0
Biosynthesis,Retinol Biosynthesis,0,0,0,0,0,0.48675,0,0,0,0,0,0,0
Biosynthesis,The Visual Cycle,0,0,0,0,0,0.64353,0,0,0,0,0,0,0
Biosynthesis,Estrogen Biosynthesis,0,0,0,0,0,0.47632,0,0,0,0,0,0.49565,0
DNA Damage and Repair,DNA damage-induced 14-3-3Å_ê_ Signaling,0,0,0,0,0,-0.63301,-0.64247,0,0,0,0,0,0
Cell Signaling,Insulin Receptor Signaling,0,0,0,0,0,-0.39855,0,-0.38948,0,0,0,0,0
Biosynthesis,Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I,0,0,0,0,0,-0.64204,0,0,0,0,0,-0.59801,0
Biosynthesis,Dermatan Sulfate Biosynthesis,0,0,0,0,0,0,0.3671,0,0,0,0,0,0
Cell Signaling,Androgen Signaling,0,0,0,0,0,0,-0.45348,-0.39739,0,0.40017,0,-0.42791,0
Immune Related,Granzyme B Signaling,0,0,0,0,0,0,-0.70449,0,0,0,0,0,0
Biosynthesis,Salvage Pathways of Pyrimidine Deoxyribonucleotides,0,0,0,0,0,0,-0.78004,0,0,0,0,0,0
Biosynthesis,Salvage Pathways of Pyrimidine Ribonucleotides,0,0,0,0,0,0,-0.43028,0,0,0,0,-0.34732,0
Biosynthesis,Inosine-5'-phosphate Biosynthesis II,0,0,0,0,0,0,-0.95158,0,0,0,0,0,0
Biosynthesis,Purine Nucleotides De Novo Biosynthesis II,0,0,0,0,0,0,-0.76869,-0.72316,0,0,0,0,0
Degradation,L-cysteine Degradation III,0,0,0,0,0,0,-0.98191,0,0,0,0,0,0
Degradation,Spermine and Spermidine Degradation I,0,0,0,0,0,0,0,0.95928,0,0,0,0,0
Degradation,Chondroitin Sulfate Degradation (Metazoa),0,0,0,0,0,0,0,0.71223,0,0,0,0,0
Other,Airway Pathology in Chronic Obstructive Pulmonary Disease,0,0,0,0,0,0,0,0.85416,0,0,0,0,0
Degradation,Dermatan Sulfate Degradation (Metazoa),0,0,0,0,0,0,0,0.70015,0,0,0,0,0
Cell Signaling,p38 MAPK Signaling,0,0,0,0,0,0,0,0.31947,-0.35848,0,-0.31811,0,0
Biosynthesis,Chondroitin and Dermatan Biosynthesis,0,0,0,0,0,0,0,0.80729,0,0,0,0,0
"Cell Cycle, Division and Proliferation",CREB Signaling in Neurons,0,0,0,0,0,0,0,-0.37101,0,0,0,-0.2822,0
Metabolism,Mevalonate Pathway I,0,0,0,0,0,0,0,-0.67034,0,0,0,0,0
"Cell Cycle, Division and Proliferation",Sonic Hedgehog Signaling,0,0,0,0,0,0,0,-0.52611,0,0,0,0,0
Biosynthesis,Superpathway of Cholesterol Biosynthesis,0,0,0,0,0,0,0,-0.68569,0,0,0,0,0
