Drugs	Targets	Class	PossibleGDSC1000Class		
piperlongumine		natural product; modulator of ROS levels	other		
"Dibenz[cd,g]indazol-6(2H)-one"	MAPK10;MAPK8;MAPK9	inhibitor of Jun N-terminal kinase (JNK) 1/2/3	JNK and p38 signaling		
C6-ceramide	MAPK1;PPP2CA;UGCG	inhibitor of glucosylceramide synthase; activator of MAP kinase (ERK); stimulator of protein phosphatase 2A	ERK MAPK signaling		
Topotecan	TOP1	inhibitor of topoisomerase I	DNA replication		
importazole	KPNB1	inhibitor of importin	other		
etoposide	TOP2A	inhibitor of topoisomerase II	DNA replication		
prima-1	TP53	re-activator of the pro-apoptotic activity of mutant p53	p53 pathway		
tanespimycin	HSP90AA1	inhibitor of HSP90	other		
blebbistatin	MYH1;MYH2	inhibitor of myosin II ATPases	other		
cytochalasin B		inhibitor of actin polymerization	cytoskeleton		
NSC95397	CDC25A;CDC25B;CDC25C	inhibitor of cell division cycle 25 phosphatase (CDC25)	cell cycle		
manumycin A	FNTA;FNTB	inhibitor of RAS farnesyltransferase	metabolism		
Mitomycin-C		DNA crosslinker	DNA replication		
tacrolimus	PPP3CA;PPP3CB;PPP3CC;PPP3R1;PPP3R2	inhibitor of calcineurin	other		
SB-431542	TGFBR1	inhibitor of the transforming growth factor beta type 1 receptor	other		
staurosporine		inhibitor of multiple kinases	cell cycle		
SB-225002	CXCR2	inhibitor of chemokine receptor 2	other		
Cerulenin	FASN;HMGCS1	inhibitor of fatty acid synthase; inhibitor of HMG-CoA synthase	other		
purmorphamine	SMO	activator of smoothened receptor	other		
6-bromoindirubin-3'-oxime		inhibitor of JAK/STAT signaling	RTK signaling		
Dasatinib	EPHA2;KIT;LCK;SRC;YES1	inhibitor of SRC  YES1  EPHA2  c-KIT  and LCK	RTK signaling		
Erlotinib	EGFR;ERBB2	inhibitor of EGFR and HER2	EGFR signaling		
BRD-K94991378		inducer of ROS	other		
Panobinostat	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of HDAC1  HDAC2  HDAC3  HDAC6  and HDAC8	chromain  histone acetylation		
IC-87114	PIK3CD	inhibitor of PI3K catalytic subunit delta	PI3K signaling		
ciclosporin	PPID	inhibitor of calcineurin by binding to cyclophilin D	other		
Rapamycin	MTOR	inhibitor of mTOR	TOR signaling		
KU-55933	ATM	inhibitor of ataxia telangiectasia mutated (ATM)	Genome integrity		
sitagliptin	DPP4	inhibitor of dipetidyl peptidase-4	other		
PDMP	UGCG	inhibitor of ceramide glucosyltransferase	metabolism		
BRD-K71935468		inducer of ROS	other		
MS-275	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of HDAC1  HDAC2  HDAC3  HDAC6  and HDAC8	chromain  histone acetylation		
BEC	ARG1;ARG2	inhibitor of arginase I and II	metabolism		
apicidin	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of HDAC1  HDAC2  HDAC3  HDAC6  and HDAC8	chromain  histone acetylation		
Merck60	HDAC1;HDAC2	inhibitor of HDAC1 and HDAC2	chromain  histone acetylation		
BRD-A94377914	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of HDAC1  HDAC2  HDAC3  HDAC6  and HDAC8	chromain  histone acetylation		
FGIN-1-27	TSPO	activator of peripheral benzodiazepine receptor/translocator protein	chromain  histone acetylation		
compound 1B		screening hit	other		
vincristine		inhibitor of mictrotubule assembly	cytoskeleton		
Cytarabine		inducer of DNA damage	DNA replication		
itraconazole		anti-fungal agent; inhibitor of hedgehog signaling pathway	other		
erastin	SLC7A11;VDAC1;VDAC2	modulator of voltage-dependent anion channels; inhibitor of solute carrier SLC7A11	other		
ML013	S1PR2	inhibitor of sphingosine 1-phosphate receptor 2	other		
CIL56		screening hit	other		
FQI-1		inhibitor of LSF1-mediated transcription	other		
BRD-K92856060		screening hit	other		
B02	RAD51	inhibitor of RAD51	Genome integrity		
BRD-K45681478		product of diversity oriented synthesis; screening hit	other		
ML050	GPER1	antagonist of GPR30	other		
ML162		selectively kills engineered cells expressing mutant HRAS	other		
CIL41		screening hit	other		
5-(Benzyloxy)-1H-indole-2-carboxylic acid	SRD5A2	inhibitor of steroid 5-alpha reductase	metabolism		
CIL70		screening hit	other		
MI-1	MEN1	binder of menin; inhibitor of menin-MLL fusion protein	other		
DBeQ	VCP	inhibitor of p97 in cells	other		
ML083	PKM	activator of muscle pyruvate kinase	metabolism		
CID-5951923	KLF5	modulator of KLF5 expression	other		
IU1	USP14	inhibitor of the deubiquitinase activity of USP14	other		
ML311	MCL1	inhibitor of MCL1	other		
Imatinib	ABL1;BCR;KIT	inhibitor of BCR-ABL1 and c-KIT	ABL signaling		
decitabine	DNMT1	inhibitor of DNA methyltransferase	chromatin  histone methylation		
CHIR-99021	GSK3B	inhibitor of GSK3 beta	WNT signaling		
BI-2536	PLK1	inhibitor of polo-like kinase 1 (PLK1)	mitosis		
BRD-K61166597		inhibitor of HDAC1 and HDAC2	chromain  histone acetylation		
GW843682X	PLK1;PLK3	inhibitor of PLK1 and PLK3	mitosis		
Vandetanib	EGFR;KDR	inhibitor of VEGFR2 and EGFR	RTK signaling		
4-[4-({[4-Chloro-3-(trifluoromethyl)phenyl]carbamoyl}amino)phenoxy]-N-methyl-2-pyridinecarboxamide	BRAF;FLT3;KDR;RAF1	inhibitor of BRAF  CRAF  and VEGFR2	RTK signaling		
"Imidazo[5,1-d]-1,2,3,5-tetrazine-8-carboxamide, 3,4-dihydro-3-methyl-4-oxo-"		DNA alkylator	DNA replication		
QW-BI-011	EHMT2	inhibitor of G9a histone methyltransferase	chromatin  histone methylation		
SNX-2112	HSP90AA1;HSP90B1	inhibitor of HSP90alpha and HSP90beta	other		
Bexarotene	RXRA;RXRB;RXRG	inhibitor of retinoid X receptors	other		
Nilotinib	ABL1;BCR;KIT	 inhibitor of ABL1  BCR  and c-KIT	ABL signaling		
Sunitinib	FLT1;FLT3;KDR;KIT;PDGFRA;PDGFRB	inhibitor of VEGFRs  c-KIT  and PDGFR alpha and beta	RTK signaling		
bendamustine		DNA alkylator	DNA replication		
CD-437	RARG	agonist of retinoic acid receptor gamma	other		
SCH-79797	F2R	antagonist of proteinase-activated receptor 1 (PAR1)	other		
LE-135	RARB	antagonist of retinoic acid receptor beta	other		
SKI-II	SPHK1	inhibitor of sphingosine kinase 1	other		
Platin		DNA alkylator; organoplatinum reagent	DNA replication		
GW-405833	CNR2	partial agonist of cannabinoid receptor 2	other		
AC55649	RARB	agonist of retinoic acid receptor beta	other		
RITA	MDM2;TP53	inhibitor of p53-MDM2 interaction	p53 pathway		
LY-2183240	FAAH	inhibitor of fatty acid amide hydrolase; inhibitor of anandamide uptake	metabolism		
CD-1530	RARG	agonist of retinoic acid receptor gamma	other		
TPCA-1	IKBKB	inhibitor of IKK-2	other		
NSC632839	USP13;USP5	inhibitor of ubiquitin isopeptidase	other		
pifithrin-mu	HSPA1A;HSPA1B;HSPA1L;TP53	inhibitor of p53 binding to mitochondria; inhibitor of HSP70	other		
SN-38	TOP1	metabolite of irinotecan; inhibitor of topoisomerase I	DNA replication		
BRD-K80183349	HDAC1;HDAC2	inhibitor of HDAC1 and HDAC2	chromain  histone acetylation		
BRD-K66532283	HDAC1;HDAC2	inhibitor of HDAC1 and HDAC2	chromain  histone acetylation		
MK-2206	AKT1	inhibitor of AKT1	PI3K signaling		
triazolothiadiazine	PDE4A;PDE4B;PDE4D	inhibitor of phosphdiesterase 4A/B/D	other		
BRD-K66453893		product of diversity oriented synthesis	other		
BRD-K11533227	HDAC1;HDAC2	inhibitor of HDAC1 and HDAC2	chromain  histone acetylation		
BRD-K27224038		product of diversity oriented synthesis	other		
BRD-K14844214		product of diversity oriented synthesis	other		
BRD1835	EZH2	product of diversity oriented synthesis; screening hit	other		
BRD-K41597374		product of diversity oriented synthesis	other		
BRD-K63431240		product of diversity oriented synthesis; screening hit	other		
BRD-K13999467		product of diversity oriented synthesis	other		
BRD-K96970199		product of diversity oriented synthesis	other		
"(1R,2E,6S,10E,11aS,13S,14aR)-1,13-Dihydroxy-6-methyl-1,6,7,8,9,11a,12,13,14,14a-decahydro-4H-cyclopenta[f]oxacyclotridecin-4-one"	ARF1	modulator of ADP-ribosylation factor 1; inhibitor of protein translocation from ER to Golgi	other		
AGK-2	SIRT2	inhibitor of sirtuin 2	other		
L-685458	APH1A;NCSTN;PSEN1;PSENEN	inhibitor of gamma-secretase	other		
PF-750	FAAH	inhibitor of fatty acid amide hydrolase	metabolism		
triptolide		natural product; inhibitor of RNA polymerase II	other		
Nutlin-3	MDM2	inhibitor of p53-MDM2 interaction	p53 pathway		
16-beta-bromoandrosterone		dehydroepiandrosterone (DHEA) analog	other		
PRL-3 Inhibitor I	PTP4A3	inhibitor of phosphatase of regenerating liver-3 (PRL3)	other		
SID 26681509	CTSL1	inhibitor of cathepsin L	other		
CHEMBL1222381		induction of rat HCN cell differentiation as judged by induction of neuronal reporter neuroD activity	other		
NSC 74859	STAT3	inhibitor of STAT3	other		
Bortezomib	PSMB1;PSMB2;PSMB5;PSMD1;PSMD2	inhibitor of 26S proteasome	other		
ABT-737	BCL2;BCL2L1;BCL2L2	inhibitor of BCL2  BCL-xL  and BCL-W	apoptosis regulation		
Zebularine	DNMT1	inhibitor of DNA methyltransferases	chromatin  histone methylation		
PI-103	MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PRKDC	inhibitor of DNA-PK  PI3K p110 delta mTORC1 and catalytic subunits of PI3K	TOR signaling		
tubastatin A	HDAC6	inhibitor of tubulin deacetylase activity of HDAC6	chromain  histone acetylation		
SR-II-138A	EIF4A2;EIF4E;EIF4G1	silvestrol analog; inhibits translation by modulating the eIF4F complex	other		
neopeltolide		inhibitor of cellular respiration	metabolism		
Parthenolide		natural product; modulator of ROS; modulator of NF-kappa-B signaling	other		
Compound 7d-cis	XPO1	inhibitor of CRM1-mediated nucleocytoplasmic transport	other		
MLN4924	NAE1	inhibitor of Nedd-8 activating enzyme	other		
AZD-7545	PDK2	inhibitor of pyruvate dehydrogenase kinase 2	metabolism		
VER-155008	HSPA1A;HSPA1B;HSPA1L	inhibitor of HSP70	other		
ML203	PKM	activator of muscle pyruvate kinase (PKM2)	metabolism		
SRT-1720	SIRT1	activator of sirtuin-1	other		
CAY10594	PLD2	inhibitor of phospholipase D2	other		
Compound 1541A	CASP3;CASP6;CASP7	activators of executioner procaspases 3 6  and 7	apoptosis regulation		
RG-108	DNMT1	inhibitor of DNA methyltransferase	chromatin  histone methylation		
pac-1	CASP3	activator of procaspase-3	apoptosis regulation		
GMX-1778	NAMPT	inhibitor of nicotinamide phosphoribosyltransferase	metabolism		
Gemcitabine	CMPK1;RRM1;TYMS	inhibitor of DNA replication; inhibitor of ribonucleotide reductase  thymidylate synthetase  and cytidine monophosphate (UMP-CMP) kinase 	DNA replication		
MST-312	TERT	inhibitor of telomerase reverse transcriptase	Genome integrity		
AZD-2281	PARP1;PARP2	inhibitor of poly (ADP-ribose) polymerase 1 and 2	Genome integrity		
oligomycin a	ATP5L2	inhibitor of mitochondrial ATP synthase	metabolism		
indisulam	CA9	inhibitor of carbonic anhydrase isoform IX	other		
BRD-K49290616		product of diversity oriented synthesis	other		
BRD-K02492147		product of diversity oriented synthesis	other		
austocystin d		natural product; inducer of DNA damage	other		
SJ-172550	MDM2;TP53	inhibitor of p53-MDM2 interaction	p53 pathway		
pandacostat	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	 inhibitor of HDAC1  HDAC2  HDAC3  HDAC6  and HDAC8	chromain  histone acetylation		
BRD-K96431673		product of diversity oriented synthesis	other		
cyanoquinoline 11	MAP3K8	inhibitor of MAP3K8; inhibitor of phosphorylated EGFR in cells	EGFR signaling		
tipifarnib	FNTA///FNTA	inhibitor of farnesyltransferase///inhibitor of farnesyltransferase	other		
Compound 23 citrate		analog of natural product cortistatin	other		
nakiterpiosin		natural product; inhibitor of microtubule assembly	cytoskeleton		
CCT036477		inhibitor of WNT signaling by blocking beta-catenin transcription	WNT signaling		
tamatinib	SYK	inhibitor of spleen tyrosine kinase	RTK signaling		
myriocin	SPTLC1;SPTLC2;SPTLC3	inhibitor of serine palmitoyltransferase	other		
YM-155	BIRC5	inhibitor of survivin expression	other		
BMS-754807	IGF1R	inhibitor of insulin-like growth factor 1 receptor and insulin receptor	IGFR signaling		
BIBR-1532	TERT	inhibitor of telomerase reverse transcriptase	Genome integrity		
neratinib	EGFR;ERBB2	inhibitor of EGFR and HER2	EGFR signaling		
BRD1812		screening hit	other		
BRD8958	EP300	inhibitor of E1A binding protein p300	other		
JNJ-26854165	MDM2	inhibitor of MDM2	p53 pathway		
FK866	NAMPT	inhibitor of nicotinamide phosphoribosyltransferase	metabolism		
MK 1775	WEE1	inhibitor of WEE1	cell cycle		
tivozanib	FLT1;FLT3;KDR	inhibitor of VEGFRs	RTK signaling		
Ko-143	ABCG2	inhibitor of breast cancer resistance protein multidrug transporter (BCRP)	other		
CR-1-31B	EIF4A2;EIF4E;EIF4G1	silvestrol analog; inhibits translation by modulating the eIF4F complex	other		
BRD-K71781559		screening hit	other		
BRD-K86535717		product of diversity oriented synthesis	other		
BRD-K48334597		product of diversity oriented synthesis	other		
ML312	SCARB1	inhibitor of scavenger receptor class B  member 1 (SCARB1)-mediated lipid uptake	other		
BRD-K04800985		product of diversity oriented synthesis	other		
BRD-K78574327		product of diversity oriented synthesis	other		
BRD-K19103580		product of diversity oriented synthesis	other		
BRD-K30019337		product of diversity oriented synthesis	other		
BRD-K84807411		product of diversity oriented synthesis	other		
BRD-K44224150		product of diversity oriented synthesis	other		
BRD-K75293299		product of diversity oriented synthesis	other		
BRD-K64610608		product of diversity oriented synthesis; screening hit	other		
BRD-K02251932		product of diversity oriented synthesis	other		
BRD-K55116708		product of diversity oriented synthesis; inhibitor of leukemic stem cells	other		
BRD-K41334119		product of diversity oriented synthesis	other		
BRD-K34485477		product of diversity oriented synthesis	other		
BRD-K16147474		product of diversity oriented synthesis	other		
BRD-K29086754		product of diversity oriented synthesis	other		
BRD-K33199242		product of diversity oriented synthesis	other		
BRD-K52037352		product of diversity oriented synthesis	other		
BRD-K27986637		product of diversity oriented synthesis; screening hit	other		
BRD-K37390332		product of diversity oriented synthesis	other		
fulvestrant	ESR1;GPER1	antagonist of the estrogen receptor	other		
HLI 373	MDM2	inhibitor of MDM2	p53 pathway		
"(Methylenedi-4,1-phenylene)bis(arsonic acid)"	TASP1	inhibitor of threonine endopeptidase taspase 1	other		
PRIMA-1-Met	TP53	re-activator of the pro-apoptotic activity of mutant p53	p53 pathway		
isoevodiamine		natural product	other		
UNC0638	EHMT1;EHMT2	inhibitor of EHMT2 and GLP methyltransferase	chromatin  histone methylation		
"Estra-1,5-diene-3,11-dione, 17-[(1R,3E)-1,5-dihydroxy-1,5-dimethyl-2-oxo-3-hexen-1-yl]-2,16-dihydroxy-4,4,9,14-tetramethyl-, (9beta,10alpha,16alpha,17beta)-"		natural product; modulator of NFKB1 and STAT3 signaling	other		
BRD-K50799972		product of diversity oriented synthesis	other		
BRD-K17060750		product of diversity oriented synthesis	other		
linifanib	FLT1;FLT3;KDR	inhibitor of VEGFRs	RTK signaling		
ABT-888	PARP1;PARP2	inhibitor of poly (ADP-ribose) polymerase 1 (PARP1) and 2 (PARP2)	Genome integrity		
AZD0530	ABL1;SRC	inhibitor of SRC and ABL1	ABL signaling		
BIBW2992	EGFR;ERBB2	inhibitor of EGFR and HER2	EGFR signaling		
canertinib	EGFR;ERBB2	inhibitor of EGFR and HER2	EGFR signaling		
Obatoclax Mesylate	BCL2;BCL2L1;MCL1	inhibitor of MCL1  BCL2  and BCL-xL	apoptosis regulation		
masitinib	KIT;PDGFRA;PDGFRB	inhibitor of c-KIT  PDGFRA  and PDGFRB	RTK signaling		
ZSTK474	PIK3CB;PIK3CD;PIK3CG	inhibitor of PI3K catalytic subunits beta  delta  and gamma	PI3K signaling		
brivanib	FLT1;KDR	inhibitor of VEGFR 1/2	RTK signaling		
GDC-0879	BRAF	inhibitor of BRAF	ERK MAPK signaling		
TAE684	ALK	inhibitor of ALK and ALK-NPM fusion protein	RTK signaling		
SNS-032	CDK16;CDK17;CDK2;CDK7;CDK9;CDKL5	inhibitor of cyclin-dependent kinases	cell cycle		
PLX4720	BRAF	inhibitor of BRAF	ERK MAPK signaling		
TGX221	PIK3CB	inhibitor of PI3K catalytic subunit beta	PI3K signaling		
KU-0063794	MTOR	inhibitor of mTOR	TOR signaling		
SU11274	MET	inhibitor of MET	RTK signaling		
BRD-K88742110	HDAC8	inhibitor of HDAC8	chromain  histone acetylation		
BRD8899	STK33	inhibitor of serine/threonine kinasase STK33	other		
EX-527	SIRT1	inhibitor of sirtuin 1	other		
ELCPK		screening hit	other		
NPC-26		induces cell death through a non-apoptotic  mitochondrial-dependent mechanism	apoptosis regulation		
"1S,3R-RSL-3"	GPX4	synthetic lethal with HRAS in engineered cells; inhibitor of GPX4	metabolism		
CIL55A		screening hit	other		
SCH-529074	TP53	activator of mutant p53	p53 pathway		
StemRegenin 1	AHR	inhibitor of aryl hydrocarbon receptor	other		
FQI-2		inhibitor of LSF1-mediated transcription	other		
ML210		selectively kills engineered cells expressing mutant HRAS	other		
darinaparsin		inducer of ROS; inhibitor of microtubule assembly	other		
PX-12	TXN	inhibitor of thioredoxin-1	metabolism		
"Benzenamine, 2,2'-[[dihydro-2-(4-pyridinyl)-1,3(2H,4H)-pyrimidinediyl]bis(methylene)]bis[N,N-dimethyl-"		inhibitor of hedgehog signaling pathway	other		
PL-DI		dimer of piperlongumine; inducer of ROS	other		
TW-37	BCL2;BCL2L1	inhibitor of BCL2 and BCL-xL	apoptosis regulation		
AZD8055	MTOR	inhibitor of mTOR	TOR signaling		
CHM-1		inhibitor of tubulin polymerization	cytoskeleton		
QS11	ARFGAP1	inhibitor of GTPase activating protein of ARF 1 (ARFGAP1)	cytoskeleton		
ML239		ML239; inhibitor of breast cancer stem cell proliferation	other		
Fumonisin B1	CERS1;CERS2;CERS3;CERS4;CERS5;CERS6	inhibitor of ceramide synthase	metabolism		
JQ-1	BRDT	inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins	chromatin  other		
BRD-K51490254	HDAC6;HDAC8	inhibitor of HDAC6 and HDAC8	chromain  histone acetylation		
BRD-K85133207	HDAC1	inhibitor of HDAC1	chromain  histone acetylation		
CAY10576	IKBKE	inhibitor of IKK-epsilon	other		
Repligen 136	HDAC3	inhibitor of HDAC3	chromain  histone acetylation		
nintedanib	FGFR1;FGFR2;FGFR3;FLT1;FLT3;KDR;PDGFRA;PDGFRB	inhibitor of c-KIT  VEGFRs  PDGFRs  and FGFRs	RTK signaling		
foretinib	KDR;MET	inhibitor of MET and VEGFR2	RTK signaling		
regorafenib	BRAF;KDR;KIT;RET	inhibitor of BRAF  RET  KIT  and VEGFR2	RTK signaling		
WZ8040	EGFR	inhibitor of EGFR targeting T790M resistance	EGFR signaling		
OSI-930	KDR;KIT	inhibitor of c-KIT and VEGFR2	RTK signaling		
MGCD-265	FLT1;FLT3;KDR;MET	inhibitor of c-MET and VEGFRs	RTK signaling		
lenvatinib	FLT1;FLT3;KDR;KIT;PDGFRA;PDGFRB	inhibitor of VEGFRs  c-KIT  and PDGFR alpha and beta	RTK signaling		
YK 4-279	DHX9;ERG;ETV1	inhibitor of RNA helicase A (RHA) binding to EWS-FLI1; inhibitor of ERG and ETV1 activity	other		
CAY10618	NAMPT	inhibitor of nicotinamide phosphoribosyltransferase	metabolism		
KU 0060648	PRKDC	inhibitor of DNA-dependent protein kinase	other		
narciclasine	RHOA	activates cellular activity of RhoA; modulator of Rho/Rho kinase/LIM kinase/cofilin signaling	cytoskeleton		
MLN2238	PSMB5	inhibitor of 20S proteasome at the chymotrypsin-like proteolytic (beta-5) site	other		
ISOX	HDAC6	inhibitor of HDAC6	chromain  histone acetylation		
BRD-K29313308	HDAC3	inhibitor of HDAC3	chromain  histone acetylation		
UNC0321	EHMT2	inhibitor of G9a histone methyltransferase	chromatin  histone methylation		
SGX-523	MET	inhibitor of MET	RTK signaling		
erismodegib		screening hit	other		
alisertib	AURKA;AURKB	inhibitor of aurora kinases A and B	mitosis		
AZD6482	PIK3CB;PIK3CD	inhibitor of PI3K catalytic subunits beta and delta	PI3K signaling		
ruxolitinib	JAK1;JAK2	inhibitor of Janus kinases 1 and 2	RTK signaling		
Bleomycin		inducer of DNA damage	DNA replication		
GDC-0941	PIK3CA;PIK3CB;PIK3CD;PIK3CG	inhibitor of PI3K kinase activity	PI3K signaling		
SB-525334	TGFBR1	inhibitor of the transforming growth factor beta type 1 receptor	other		
PHA-793887	CDK1;CDK2;CDK4;CDK5;CDK7;CDK9	inhibitor of cyclin-dependent kinases	cell cycle		
quizartinib	FLT3	inhibtor of VEGFR3	RTK signaling		
fingolimod	S1PR1	inhibitor of sphingosine 1-phosphate receptor	other		
"5-({4-[(2,3-Dimethyl-2H-indazol-6-yl)(methyl)amino]-2-pyrimidinyl}amino)-2-methylbenzenesulfonamide"	FLT1;FLT3;KDR;KIT;PDGFRB	inhibitor of VEGFRs  c-KIT  and PDGFRB	RTK signaling		
BRD-K24690302	HDAC1	inhibitor of HDAC1	chromain  histone acetylation		
BRD-K70511574	PLK1	inhibitor of polo-like kinase 1 (PLK1)	mitosis		
"1-Propanesulfonamide, N-[3-[[5-(4-chlorophenyl)-1H-pyrrolo[2,3-b]pyridin-3-yl]carbonyl]-2,4-difluorophenyl]-"	BRAF	inhibitor of BRAF	ERK MAPK signaling		
GSK461364	PLK1	inhibitor of polo-like kinase 1 (PLK1)	mitosis		
BRD-K20514654		stapled helical peptide	other		
BRD-K28456706	HNF4A	inhibitor of hepatocyte nuclear factor 4 alpha	other		
STF-31	NAMPT	inhibitor of nicotinamide phosphoribosyltransferase	metabolism		
spautin-1	USP10;USP13	inhibitor of the deubiquitinase activity of USP13 and USP10	other		
BRD-A02303741	DOT1L	inhibitor of histone methyltransferases	chromatin  histone methylation		
ML320	GSK3B	inhibitor of GSK3 beta	WNT signaling		
tigecycline		analog of tetracycline	other		
BRD-K34099515		screening hit	other		
PF-543	SPHK1	inhibitor of sphingosine kinase-1	other		
PF-573228	PTK2	inhibitor of focal adhesion kinase	other		
ceranib-2	ACER1;ACER2;ACER3;ASAH1;ASAH2;ASAH2B	inhibitor of ceramidase activity	other		
FSC231	PICK1	inhibitor of PDZ domain of protein interacting with PRKCA 1 (PICK1)	other		
968	GLS	inhibitor of glutaminase	other		
GSK4112	NR1D1	antagonist of Rev-ErbAalpha	other		
etomoxir	CPT1A	inhibitor of carnitine palmitoyltransferase	metabolism		
HC-067047	TRPV4	inhibitor of cation channel TRPV4	other		
IPR-456	PLAUR	inhibitor of the interaction of urokinase receptor with binding partners	other		
leptomycin B	XPO1	inhibitor of exportin 1	other		
AZ-3146	TTK	inhibitor of TTK protein kinase	other		
VU0155056	PLD1;PLD2	inhibitor of phospholipase D1/D2	other		
JQ-1:UNC0638 (2:1 mol/mol)	BRDT;EHMT1;EHMT2	inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins;inhibitor of EHMT2 and GLP methyltransferase	chromatin  other		
vorinostat:carboplatin (1:1 mol/mol)	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of HDAC1  HDAC2  HDAC3  HDAC6  and HDAC8;inducer of DNA damage	chromain  histone acetylation		
serdemetan:SCH-529074 (1:1 mol/mol)	MDM2;TP53	inhibitor of MDM2;activator of mutant p53	p53 pathway		
selumetinib:PLX-4032 (8:1 mol/mol)	MAP2K1;MAP2K2;BRAF	inhibitor of MEK1 and MEK2;inhibitor of BRAF	ERK MAPK signaling		
sirolimus:bortezomib (250:1 mol/mol)	MTOR;PSMB1;PSMB2;PSMB5;PSMD1;PSMD2	inhibitor of mTOR;inhibitor of 26S proteasome	TOR signaling		
BRD-K97651142		aphrocallistin derivative	other		
vorapaxar	F2R	antagonist of proteinase-activated receptor 1 (PAR1)	other		
"4-{(1E)-3-[3,5-Bis(2-methyl-2-propanyl)phenyl]-3-oxo-1-propen-1-yl}benzoic acid"	RARA;RARB;RARG	agonist of retinoid acid receptors	other		
BRD-K79669418	MDM2;MDM4	inhibitor of MDM4-p53 interaction	p53 pathway		
BRD-K99584050		stapled helical peptide	other		
BRD-A71883111	IDH1	putative inhibitor of IDH1 R132H	other		
navitoclax:birinapant (1:1 mol/mol)	BCL2;BCL2L1;BCL2L2;DIABLO;XIAP	inhibitor of BCL2  BCL-xL  and BCL-W;SMAC mimetic; inhibitor of inhibitor of apoptosis proteins (IAPs)	apoptosis regulation:apoptosis regulation		
ISOX:bortezomib (250:1 mol/mol)	HDAC6;PSMB1;PSMB2;PSMB5;PSMD1;PSMD2	inhibitor of HDAC6;inhibitor of 26S proteasome	chromain  histone acetylation:other		
selumetinib:GDC-0941 (4:1 mol/mol)	MAP2K1;MAP2K2;PIK3CA;PIK3CB;PIK3CD;PIK3CG	inhibitor of MEK1 and MEK2;inhibitor of PI3K kinase activity	ERK MAPK signaling:PI3K signaling		
selumetinib:tretinoin (2:1 mol/mol)	MAP2K1;MAP2K2;RARA;RARB;RARG	inhibitor of MEK1 and MEK2;agonist of retinoid acid receptors	ERK MAPK signaling:other		
selumetinib:vorinostat (8:1 mol/mol)	MAP2K1;MAP2K2;HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of MEK1 and MEK2;inhibitor of HDAC1  HDAC2  HDAC3  HDAC6  and HDAC8	ERK MAPK signaling:chromain  histone acetylation		
